"item_name","bullet_point","product_type","product_category","link","color","material","item_id","depth","height","width"
"Lámpara de techo para salón negra Netto","La lámpara de techo Netto es una bonita lámpara de estilo moderno perfecta para ser la protagonista de tu comedor o salón. Está elaborada en un fino metal en color negro que, combinado con muebles en color madera , aportará un ambiente acogedor a tu hogar.
No incluye bombilla.","Lámpara de techo","Inicio > Lámparas > Lámparas de techo","https://klasthome.com/es/lamparas-de-techo/143-lampara-de-techo-para-salon-negra?channable=04a95469640031343310","Negro","Metal","CC-0004NE","28 cm","24 cm","28 cm"
"Aplique de pared color natural Glod","El aplique de pared Glod es la opción perfecta para aportar un ambiente cálido y acogedor a tu estancia. Combina varios materiales, la madera y el metal, proporcionando un estilo nórdico que potenciará la decoración de tu hogar. Colócalo en el salón, comedor, dormitorio o recibidor y presume de estilo.
No incluye bombilla.","Aplique de pared","Inicio > Lámparas > Apliques de pared","https://klasthome.com/es/apliques-de-pared/144-aplique-de-pared-color-natural?channable=04a95469640031343411","Natural","Madera","CC-0005","24 cm","3 cm","3 cm"
"Espejo redondo de pared 50d Luka","El espejo decorativo en ratán Luka aportará un toque distintivo a tu hogar. Su diseño en materiales naturales y varios colores aportará un toque cálido a cualquier estancia la que decidas colocarlo.","Espejo de pared","Inicio > Decoración > Espejos decorativos > Espejos de pared","https://klasthome.com/es/espejos-de-pared/145-espejo-redondo-de-pared-50d?channable=04a95469640031343512","Beige","Fibra natural","FD-0003","50 cm","50 cm","3 cm"
"Espejo redondo de pared 70d Zen","El espejo decorativo Zen está realizado con varillas y mimbre para crear esa forma tan bonita y peculiar. Su diseño confirma el éxito de los materiales naturales como tendencia que añade un toque de equilibrio y armonía a los interiores de nuestro hogar.","Espejo de  pared","Inicio > Decoración > Espejos decorativos > Espejos de pared","https://klasthome.com/es/espejos-de-pared/148-espejo-redondo-de-pared-70d?channable=04a95469640031343815","Natural","Fibra natural","FD-0030","70 cm","70 cm","2 cm"
"Espejo redondo de pared 50d Cor","El espejo decorativo en ratán Cor aportará un toque distintivo a tu hogar. Su diseño en materiales naturales y varios colores aportará un toque cálido a cualquier estancia la que decidas colocarlo.","Espejo de  pared","Inicio > Decoración > Espejos decorativos > Espejos de pared","https://klasthome.com/es/espejos-de-pared/149-espejo-redondo-de-pared-50d?channable=04a95469640031343916","Beige","Fibra natural","FD-0031","50 cm","50 cm","8 cm"
"Espejo redondo de pared 50d Sei","El espejo decorativo Sei está realizado con varillas y mimbre para crear esa forma tan bonita y peculiar. Su diseño confirma el éxito de los materiales naturales como tendencia, que añade un toque de equililbrio y armonía a los interiores de nuestro hogar.","Espejo de  pared","Inicio > Decoración > Espejos decorativos > Espejos de pared","https://klasthome.com/es/espejos-de-pared/150-espejo-redondo-de-pared-50d?channable=04a9546964003135308e","Natural","Fibra natural","FD-0032","50 cm","50 cm","8 cm"
"Lámpara de pie para salón negro Kaia","La lámpara de pie Kaia de inspiración vintage combina a la perfección con cualquier elemento de tu hogar. Su diseño elegante aportará sofisticación y estilo a la estancia donde decidas colocarla. ¡Te encantará!
No incluye bombilla.","Lámpara de pie","Inicio > Lámparas > Lámparas de pie","https://klasthome.com/es/lamparas-de-pie/151-lampara-de-pie-para-salon-negro?channable=04a9546964003135318f","Negro","Metal","GL-0001","29 cm","150 cm","16 cm"
"Lámpara de techo para salón marrón Ben","La lámpara de techo Ben transmite tanto modernidad como intemporalidad. Esto se debe al estilo nórdico con el que ha sido diseñada. Y es que parece que este tipo de luminarias nunca pasan de moda. Quizás por esto mismo el estilo nórdico goza de tanta popularidad.
No incluye bombilla.","Lámpara de techo","Inicio > Lámparas > Lámparas de techo","https://klasthome.com/es/lamparas-de-techo/152-lampara-de-techo-para-salon-marron?channable=04a95469640031353290","Marrón","Madera y metal","GL-0006","35 cm","110 cm","35 cm"
"Lámpara de techo para salón negra Astrid","La lámpara de techo Astrid de estilo industrial se adapta perfectamente a cualquier estancia de tu casa. Tiene un diseño sencillo que apuesta por las formas reducidas y redondeadas. La puedes colocar de forma individual pero también te quedará ideal si decides hacer composiciones.
No incluye bombilla.","Lámpara de techo","Inicio > Lámparas > Lámparas de techo","https://klasthome.com/es/lamparas-de-techo/153-lampara-de-techo-para-salon-negra?channable=04a95469640031353391","Negro","Metal","GL-0007","38 cm","110 cm","38 cm"
"Lámpara de techo salón gris oscuro Clesy","La lámpara de techo Clesy de estilo industrial se adapta perfectamente a cualquier estancia de tu casa. Tiene un diseño sencillo que apuesta por las formas reducidas y redondeadas. La puedes colocar de forma individual pero también te quedará ideal si decides hacer composiciones.
No incluye bombilla.","Lámpara de techo","Inicio > Lámparas > Lámparas de techo","https://klasthome.com/es/lamparas-de-techo/154-lampara-de-techo-salon-gris-oscuro?channable=04a95469640031353492","Gris","Metal","GL-0008","38 cm","110 cm","38 cm"
"Lámpara de techo para salón cobre Ina","La lámpara de techo Ina se presenta como una luminaria de estilo nórdico capaz de revolucionar el estilo de cualquier estancia de tu hogar. Esta lámpara se presenta en diferentes acabados aportando color y frescura. Un elemento decorativo perfecto de apuesta segura.
No incluye bombilla.","Lámpara de techo","Inicio > Lámparas > Lámparas de techo","https://klasthome.com/es/lamparas-de-techo/155-lampara-de-techo-para-salon-cobre?channable=04a95469640031353593","Cobre","Metal","GL-0009","31 cm","110 cm","31 cm"
"Lámpara de techo para salón azul Kibo","La lámpara de techo Kibo se presenta como una luminaria de estilo nórdico capaz de revolucionar el estilo de cualquier estancia de tu hogar. Esta lámpara se presenta en diferentes acabados aportando color y frescura. Un elemento decorativo perfecto de apuesta segura.
No incluye bombilla.","Lámpara de techo","Inicio > Lámparas > Lámparas de techo","https://klasthome.com/es/lamparas-de-techo/156-lampara-de-techo-para-salon-azul?channable=04a95469640031353694","Azul","Metal","GL-0010","31 cm","110 cm","31 cm"
"Lámpara de techo para salón gris Lise","La lámpara de techo Lise se presenta como una luminaria de estilo nórdico capaz de revolucionar el estilo de cualquier estancia de tu hogar. Esta lámpara se presenta en diferentes acabados aportando color y frescura. Un elemento decorativo perfecto de apuesta segura.
No incluye bombilla.","Lámpara de techo","Inicio > Lámparas > Lámparas de techo","https://klasthome.com/es/lamparas-de-techo/158-lampara-de-techo-para-salon-gris?channable=04a95469640031353896","Gris","Metal","GL-0012","31 cm","110 cm","31 cm"
"Lámpara de techo para salón gris Teo","La lámpara de techo Teo transmite un aire moderno y atemporal. Esto se debe al estilo nórdico con el que ha sido diseñada. Es un lámpara que combina perfectamente con todos los muebles y es muy versátil por lo que la puedes colocar en cualquier estancia de tu casa.
No incluye bombilla.","Lámpara de techo","Inicio > Lámparas > Lámparas de techo","https://klasthome.com/es/lamparas-de-techo/160-lampara-de-techo-para-salon-gris?channable=04a9546964003136300e","Gris","Ceramica","GL-0014","15 cm","110 cm","15 cm"
"Lámpara de mesa blanca Nare","La lámpara de mesa Nare fabricada en cerámica y de color blanco tiene un diseño natural que potenciará de forma elegante y sencilla cualquier estancia de tu casa. Sus líneas curvas y depuradas permiten que la puedas utilizar para crear ambientes de lo más acogedores.
No incluye bombilla.","Lámpara de mesa","Inicio > Lámparas > Lámparas de mesa","https://klasthome.com/es/lamparas-de-mesa/161-lampara-de-mesa-blanca?channable=04a9546964003136310f","Blanco","Ceramica","GL-0015","15 cm","27 cm","15 cm"
"Aplique de pared negro Ico","El aplique de pared Ico tiene un diseño industrial elegante que otorgará a tus estancias una estética muy depurada. Fabricado en metal y de color negro, esta luminaria es muy decorativa y se integra perfectamente en cualquier tipo de ambiente.
No incluye bombilla.","Aplique de pared","Inicio > Lámparas > Apliques de pared","https://klasthome.com/es/apliques-de-pared/163-aplique-de-pared-negro?channable=04a95469640031363311","Negro","Metal","GL-0017","16 cm","39 cm","16 cm"
"Aplique de pared negro Laka","El aplique de pared Laka destaca por su modernidad y funcionalidad. De estilo industrial, este aplique es ideal para completar la decoracción de tu hogar. Lo puedes utilizar como luz de ambiente en zonas de paso así como punto de apoyo a la lectura en tu dormitorio o salón.
No incluye bombilla.","Aplique de pared","Inicio > Lámparas > Apliques de pared","https://klasthome.com/es/apliques-de-pared/166-aplique-de-pared-negro?channable=04a95469640031363614","Negro","Metal","GL-0020","10 cm","0 cm","10 cm"
"Lámpara de mesa color natural Kora","La lámpara de mesa Kora llega a nuestro catálogo llena de estilo. Si le quieres dar un aire nórdico a tu hogar acertarás seguro con esta lámpara. La puedes colocar en tu salón, comedor, dormitorio o recibidor. Quedará ideal ya que combina con todo.
No incluye bombilla.","Lámpara de mesa","Inicio > Lámparas > Lámparas de mesa","https://klasthome.com/es/lamparas-de-mesa/167-lampara-de-mesa-color-natural?channable=04a95469640031363715","Natural","Madera","GL-0022","26 cm","44 cm","26 cm"
"Cojín sofá 60x40 cm blanco y negro Zebra","El cojín para sofá Zebra tiene un original diseño, de inspiración étnica, que no te dejará indiferente, con un bonito acabado en blanco y negro. Gracias a su medida en 60x40cm es el complemento ideal para sofá, pero también para cama. Combínalo con cojines lisos y crea bonitas composiciones con un toque de personalidad. Incluye funda y relleno.","Cojín sofá","Inicio > Decoración > Textil > Cojines decorativos","https://klasthome.com/es/cojines-decorativos/168-cojin-sofa-60x40-cm-blanco-y-negro?channable=04a95469640031363816","Negro","Tejido","IT-0002","60 cm","40 cm","9 cm"
"Lámpara de mesa color natural Bur","La lámpara de mesa Bur fabricada en bambú nos aporta la calidez que nos ofrecen las fibras naturales. Sus originales patas de madera denotan personalidad y estilo único. Es ligera y permite que la luz atraviese los huecos de la fibra por lo que genera una luz muy acogedora.
No incluye bombilla.","Lámpara de mesa","Inicio > Lámparas > Lámparas de mesa","https://klasthome.com/es/lamparas-de-mesa/170-lampara-de-mesa-color-natural?channable=04a9546964003137308f","Natural","Fibra natural","IT-0038","40 cm","36 cm","40 cm"
"Lámpara de mesa color natural Pinne","La lámpara de mesa Pinne está fabricada en bambú, un material sostenible perfecto para dar un toque natural a cualquier estancia de tu hogar. Disfruta del carácter exclusivo de esta lámpara así como de la calidez y belleza que proporcionan las fibras naturales.
No incluye bombilla.","Lámpara de mesa","Inicio > Lámparas > Lámparas de mesa","https://klasthome.com/es/lamparas-de-mesa/171-lampara-de-mesa-color-natural?channable=04a95469640031373190","Natural","Fibra natural","IT-0039","22 cm","37 cm","22 cm"
"Lámpara de mesa gris oscuro Bles","La lámpara de mesa Bles de estilo industrial encaja perfectamente en tu mesa de trabajo. Aporta sin duda una fuente de luz ideal que te hará más agradable la lectura. Su diseño sencillo y atemporal hace que combine perfectamente con cualquier escritorio u otro mueble de tu hogar.
No incluye bombilla.","Lámpara de mesa","Inicio > Lámparas > Lámparas de mesa","https://klasthome.com/es/lamparas-de-mesa/172-lampara-de-mesa-gris-oscuro?channable=04a95469640031373291","Gris","Madera y metal","IT-0045","14 cm","54 cm","30 cm"
"Cojín sofá 45x45 cm color natural Leaf","El cojín para sofá Leaf tiene un diseño en fibra sintética que le infiere un estilo muy natural, gracias a su trenzado y al color blanco del estampado de sus hojas. Es ideal para un salón exótico con poca luz, dará carácter y aire de vacaciones s tu habitación. Incluye funda y relleno.","Cojín sofá","Inicio > Decoración > Textil > Cojines decorativos","https://klasthome.com/es/cojines-decorativos/174-cojin-sofa-45x45-cm-color-natural?channable=04a95469640031373493","Natural","Tejido","IT-0047M1","45 cm","45 cm","9 cm"
"Cojín sofá 45x45 cm color natural Leaf","El cojín para sofá Leaf tiene un diseño en fibra sintética que le infiere un estilo muy natural, gracias a su trenzado y al color blanco del estampado de sus hojas. Es ideal para un salón exótico con poca luz, dará carácter y aire de vacaciones s tu habitación. Incluye funda y relleno.","Cojín sofá","Inicio > Decoración > Textil > Cojines decorativos","https://klasthome.com/es/cojines-decorativos/175-cojin-sofa-45x45-cm-color-natural?channable=04a95469640031373594","Natural","Tejido","IT-0047M2","45 cm","45 cm","9 cm"
"Cojín sofá con flecos 45x45 cm beige Indie","El cojín para sofá Indie es un diseño original con flecos de inspiración nórdica. Hecho en tela de algodón beige con flecos de estilo natural, conseguirás un ambiente fresco y natural en tu salón incorporándolos a tu sofá. Si dispone de una terraza, también serán un complemento ideal en tu sofá de exterior. Incluye funda y relleno.","Cojín sofá","Inicio > Decoración > Textil > Cojines decorativos","https://klasthome.com/es/cojines-decorativos/176-cojin-sofa-con-flecos-45x45-cm-beige?channable=04a95469640031373695","Beige","Tejido","IT-0048","45 cm","45 cm","9 cm"
"Cojín sofá 40x40 cm terracota Tisk","El cojín decorativo para sofá Tisk está fabricado en algodón y una mezcla de lana. El patrón de terciopelo de la parte delantera del cojín es suave y cómodo, lo que lo hace el complemento ideal para un sofá. El cojín Tisk consigue que el estilo natural de su diseño, dulcifique la decoración de la estancia donde lo pongas. Incluye funda y relleno.","Cojín sofá","Inicio > Decoración > Textil > Cojines decorativos","https://klasthome.com/es/cojines-decorativos/196-cojin-sofa-40x40-cm-terracota?channable=04a95469640031393696","Mostaza","Tejido","IT-0093MO","40 cm","40 cm","10 cm"
"Cojín sofá 45x45 cm terracota Lite","El cojín para sofá Lite realzará la belleza de la decoración de tu salón, o de cualquier habitación donde lo integres, gracias a su tejido de algodón y bordado terracota, beige y negro. Este cojín de algodón cuenta con bordados y tintes originales que harán las delicias de los amantes de la decoración vintage. Incluye funda y relleno.","Cojín sofá","Inicio > Decoración > Textil > Cojines decorativos","https://klasthome.com/es/cojines-decorativos/197-cojin-sofa-45x45-cm-terracota?channable=04a95469640031393797","Terracota","Tejido","IT-0094TE","45 cm","45 cm","10 cm"
